site_url,feed_url,old_feed_url,resolved,registered,created_on,updated_on,title,link,description,generator,entries,earliest_post,last_published
http://codex.happyfuncorp.com/,http://codex.happyfuncorp.com/feed,http://codex.happyfuncorp.com/feed,52.4.240.221,true,2010-10-27 19:39:32 UTC,2019-10-12 12:39:11 UTC,HappyFunCorp Codex,https://codex.happyfuncorp.com?source=rss----4380964deb1e---4,We design and build software for startups and enterprise - Medium,Medium,10,2019-12-20 20:38:42 UTC,2020-04-11 12:31:00 UTC
http://www.themacro.com,http://macro.ycombinator.com/feed.xml,http://macro.ycombinator.com/feed.xml,13.225.64.75,true,2009-10-27 19:06:22 UTC,2020-03-25 23:00:29 UTC,The Macro,http://www.themacro.com,Stores from the YC World,,6,2016-10-14 19:15:16 UTC,2016-11-08 15:42:48 UTC
http://patrickburleson.com,http://www.patrickburleson.com/wp-rss2.php,http://www.patrickburleson.com/wp-rss2.php,107.170.247.49,true,1999-05-01 19:51:00 UTC,2020-05-02 05:43:38 UTC,Pbur's Adventures,http://patrickburleson.com,The life and times of Patrick Burleson,https://wordpress.org/?v=5.4.1,10,2013-03-07 15:52:41 UTC,2017-04-18 21:12:28 UTC
https://marco.org/,http://www.marco.org/rss,http://www.marco.org/rss,23.92.23.45,true,2000-05-16 03:38:08 UTC,2019-11-15 01:58:53 UTC,Marco.org,https://marco.org/,"I’m Marco Arment, creator of Overcast, technology podcaster and writer, and coffee enthusiast.",,20,2017-10-14 19:31:55 UTC,2020-01-31 18:46:32 UTC
https://darkshapesprowl.tumblr.com/,http://darkshapesprowl.tumblr.com/rss,http://darkshapesprowl.tumblr.com/rss,74.114.154.22,true,2006-06-08 15:11:40 -0700,2019-12-19 10:21:17 -0800,Dark Shapes,https://darkshapesprowl.tumblr.com/,,Tumblr (3.0; @darkshapesprowl),20,2011-05-26 21:57:00 UTC,2012-07-03 17:00:43 UTC
http://dealloc.me/,http://feeds.feedburner.com/encytemedia,http://feeds.feedburner.com/encytemedia,,,,,Encytemedia - Home,,,,,,
https://awesomepeoplehangingouttogether.tumblr.com/,http://awesomepeoplehangingouttogether.tumblr.com/rss,http://awesomepeoplehangingouttogether.tumblr.com/rss,74.114.154.18,true,2006-06-08 15:11:40 -0700,2019-12-19 10:21:17 -0800,awesome people hanging out together,,,,,,
https://www.newspaperclub.com/blog/posts,http://blog.newspaperclub.co.uk/feed/,http://blog.newspaperclub.co.uk/feed/,52.208.187.32,true,2009-04-22 00:00:00 -0400,2018-04-15 00:00:00 -0400,Newspaper Club,,,,,,
https://faithwashtub.livejournal.com/,https://faithwashtub.livejournal.com/data/rss,https://faithwashtub.livejournal.com/data/rss,13.88.179.33,true,1999-04-15 04:00:00 UTC,2020-03-15 21:17:41 UTC,faithwashtub,https://faithwashtub.livejournal.com/,faithwashtub - LiveJournal.com,LiveJournal / LiveJournal.com,25,2020-03-08 07:49:05 UTC,2020-03-26 06:16:32 UTC
https://aestheticsofjoy.com,http://aestheticsofjoy.com/feed/,http://aestheticsofjoy.com/feed/,104.31.74.74,true,2009-05-14 04:36:37 UTC,,aesthetics of joy,https://aestheticsofjoy.com,,https://wordpress.org/?v=5.4.2,9,2020-04-17 22:46:23 UTC,2020-06-20 15:10:22 UTC
http://www.erlang-factory.com/news/rss,http://www.erlang-factory.com/news/rss,http://www.erlang-factory.com/news/rss,18.184.93.36,true,2009-01-28 22:17:07 UTC,2019-11-29 19:38:05 UTC,Erlang Factory News Feed,http://www.erlang-factory.com/news/rss,"
      News from the Erlang Factory!
    ",,5,,
https://panic.com/blog,http://www.panic.com/blog/feed/,http://www.panic.com/blog/feed/,38.103.165.38,true,1992-07-14 04:00:00 UTC,2019-07-13 15:06:51 UTC,Panic Blog,https://panic.com/blog,The latest news and stuff from Panic Inc,https://wordpress.org/?v=5.3.4,10,2018-01-05 20:48:27 UTC,2020-03-09 22:00:01 UTC
,http://blogs.smugmug.com/onethumb/feed/atom/,http://blogs.smugmug.com/onethumb/feed/atom/,13.225.67.65,true,2002-08-05 17:25:05 -0700,2018-11-09 10:29:57 -0800,SmugBlog: Don MacAskill,,,,,,
https://scout.tumblr.com/,http://scout.tumblr.com/rss,http://scout.tumblr.com/rss,74.114.154.18,true,2006-06-08 15:11:40 -0700,2019-12-19 10:21:17 -0800,delete the adjectives,https://scout.tumblr.com/,"Alayna, 30, Philadelphia. ARCHIVE
RANDOM
FAVORITES
ASK

INSTAGRAM",Tumblr (3.0; @scout),20,2019-12-01 04:33:07 UTC,2020-02-14 20:20:52 UTC
https://slowweb.tumblr.com/,http://slowweb.tumblr.com/rss,http://slowweb.tumblr.com/rss,74.114.154.18,true,2006-06-08 15:11:40 -0700,2019-12-19 10:21:17 -0800,Slow Web,https://slowweb.tumblr.com/,"There’s a web that’s well-considered and worth savoring. We’ll show you where.


var gaJsHost = ((""https:"" == document.location.protocol) ? ""https://ssl."" : ""http://www."");
document.write(unescape(""%3Cscript src='"" + gaJsHost + ""google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E""));

try {
var pageTracker = _gat._getTracker(""UA-6806257-2"");
pageTracker._trackPageview();
} catch(err) {}",Tumblr (3.0; @slowweb),20,2009-08-15 21:11:57 UTC,2012-06-23 18:48:18 UTC
http://github.com/dylang/node-rss,https://szymonkaliski.com/feed.xml,https://szymonkaliski.com/feed.xml,140.82.113.4,true,,,Szymon Kaliski,https://github.com/dylang/node-rss/commits/master,,,20,2015-05-26 08:00:26 UTC,2017-01-11 16:28:16 UTC
http://tomayko.com/,http://tomayko.com/feed,http://tomayko.com/feed,104.27.134.227,true,2006-12-23 19:16:09 UTC,2018-01-25 07:44:53 UTC,Ryan Tomayko,,,,,,
https://wildfood.tumblr.com/,http://wildfood.tumblr.com/rss,http://wildfood.tumblr.com/rss,74.114.154.18,true,2006-06-08 15:11:40 -0700,2019-12-19 10:21:17 -0800,Wild Food!,https://wildfood.tumblr.com/,Because most people have no idea what their food used to look like.,Tumblr (3.0; @wildfood),20,2011-06-17 13:44:02 UTC,2013-03-18 15:59:38 UTC
https://xkcd.com/,http://xkcd.com/rss.xml,http://xkcd.com/rss.xml,151.101.128.67,true,2003-01-26 02:25:10 UTC,,xkcd.com,https://xkcd.com/,,,4,2020-06-17 00:00:00 UTC,2020-06-24 00:00:00 UTC
http://n-gate.com/index.rss,http://n-gate.com/index.rss,http://n-gate.com/index.rss,216.126.196.58,true,1995-05-21 04:00:00 UTC,2020-05-14 16:24:17 UTC,n-gate.com.,http://n-gate.com/index.rss,"","Tom Duff's rc, and Kris Maglione's clever hackery",3,2020-06-08 09:09:40 UTC,2020-06-22 07:26:35 UTC
https://daringfireball.net/,http://daringfireball.net/index.xml,http://daringfireball.net/index.xml,104.27.148.53,true,2002-03-18 03:07:38 UTC,2018-04-18 18:25:50 UTC,Daring Fireball,https://daringfireball.net/,By John Gruber,,48,2020-05-22 04:01:00 UTC,2020-06-26 03:05:59 UTC
,http://makeitjust.com/feed/,http://makeitjust.com/feed/,217.70.184.55,true,2009-07-15 16:13:22 UTC,2020-06-20 00:33:04 UTC,Just. / Blog,,,,,,
,http://www.wagerlabs.com/blog/atom.xml,http://www.wagerlabs.com/blog/atom.xml,185.199.111.153,true,2001-06-20 03:35:20 UTC,2020-06-02 07:23:04 UTC,Tenerife Skunkworks,,,,,,
http://exsanguination.tumblr.com/,http://exsanguination.tumblr.com/rss,http://exsanguination.tumblr.com/rss,74.114.154.18,true,2006-06-08 15:11:40 -0700,2019-12-19 10:21:17 -0800,exsanguination,,,,,,
https://skunkbear.tumblr.com/,http://skunkbear.tumblr.com/rss,http://skunkbear.tumblr.com/rss,74.114.154.18,true,2006-06-08 15:11:40 -0700,2019-12-19 10:21:17 -0800,Skunk Bear,https://skunkbear.tumblr.com/,NPR’s Science Tumblr,Tumblr (3.0; @skunkbear),20,2017-02-01 19:54:54 UTC,2018-12-27 20:28:58 UTC
https://quotes.igvita.com/,http://igrigorik.tumblr.com/rss,http://igrigorik.tumblr.com/rss,74.114.154.18,true,2004-03-14 18:09:39 UTC,,Thought stream,https://quotes.igvita.com/,,Tumblr (3.0; @igrigorik),20,2017-10-05 14:53:19 UTC,2019-12-23 16:15:19 UTC
http://youaughttoremember.blogspot.com/,http://youaughttoremember.blogspot.com/feeds/posts/default,http://youaughttoremember.blogspot.com/feeds/posts/default,172.217.12.129,true,2000-07-31 00:00:00 -0700,2019-06-29 02:36:23 -0700,You AUGHT To Remember,http://youaughttoremember.blogspot.com/,"Counting the 100 trends, fashions, memes, personalities and ideas that shaped the first decade of the 21st Century.",Blogger,25,2009-12-10 01:13:00 UTC,2010-01-01 02:03:00 UTC
http://ffffound.com/home/combray/found/,http://ffffound.com/home/combray/found/feed,http://ffffound.com/home/combray/found/feed,104.31.89.209,true,2007-05-18 07:43:42 UTC,2018-03-19 07:14:13 UTC,FFFFOUND! / COMBRAY / FOUND,,,,,,
http://jvns.ca,http://jvns.ca/atom.xml,http://jvns.ca/atom.xml,,,,,Julia Evans,,,,,,
http://railstips.org/blog/,http://feeds.feedburner.com/railstips,http://feeds.feedburner.com/railstips,172.217.12.206,true,2003-12-01 22:10:05 -0800,2019-10-31 02:35:58 -0700,RailsTips - Home,http://railstips.org/blog/,,,15,2011-09-01 03:00:00 UTC,2016-12-08 16:00:00 UTC
http://criterioncollection.blogspot.com/,http://criterioncollection.blogspot.com/feeds/posts/default,http://criterioncollection.blogspot.com/feeds/posts/default,172.217.11.33,true,,,The Criterion Contraption,http://criterioncollection.blogspot.com/,I'm going to watch every last DVD in the Criterion Collection.  ,Blogger,25,2010-08-22 02:30:00 UTC,2015-09-17 00:47:00 UTC
http://www.ahungrygull.com,http://ahungrygull.com/?feed=rss2,http://ahungrygull.com/?feed=rss2,142.252.159.60,true,2019-12-18 19:31:38 UTC,2020-01-30 17:46:11 UTC,Hungry Gull,,,,,,
https://stevenf.com/wiki/,http://stevenf.com/index.xml,http://stevenf.com/index.xml,45.56.93.53,true,2002-04-24 00:55:48 UTC,2020-04-09 12:38:09 UTC,stevenf.com,,,,,,
http://mobilitywod.blogspot.com/,http://mobilitywod.blogspot.com/feeds/posts/default,http://mobilitywod.blogspot.com/feeds/posts/default,142.250.64.97,true,2000-07-31 00:00:00 -0700,2019-06-29 02:36:23 -0700,MobilityWod,http://mobilitywod.blogspot.com/,"Every human being should be able to perform basic maintenance on themselves.  You know what to eat, how to train, and what to do if you have a cut; you should also know how to fix  your  tight hips, painful knees, and stiff shoulders, and how to make yourself faster and more powerful.  It's too much to mobilize everything, all the time, everyday.  Start somewhere. The Mobility Wod should take you four to 10 minutes to complete.  Do it everyday. Remember the areas that feel like a Shaman's Blow.",Blogger,25,2011-02-11 06:53:00 UTC,2011-03-09 05:29:00 UTC
,http://www.sachadumain.com/feed/,http://www.sachadumain.com/feed/,217.160.0.131,true,2009-11-21 15:09:33 UTC,2019-11-22 08:29:16 UTC,Sacha Dumain,http://sachadumain.com,,https://wordpress.org/?v=5.3.4,0,,
https://blog.xkcd.com,http://blag.xkcd.com/feed/,http://blag.xkcd.com/feed/,192.0.78.13,true,2003-01-26 02:25:10 UTC,,xkcd,https://blog.xkcd.com,The blag of the webcomic,http://wordpress.com/,10,2015-11-24 20:12:54 UTC,2019-09-25 18:33:37 UTC
http://blog.heroku.com,http://feeds2.feedburner.com/heroku,http://feeds2.feedburner.com/heroku,3.220.228.61,true,2007-06-14 18:45:57 -0700,2020-02-11 18:44:04 -0800,Heroku,http://blog.heroku.com,The Heroku Blog,,20,2020-01-14 21:30:00 UTC,2020-06-24 15:30:00 UTC
https://www.flickr.com/photos/combray/,http://api.flickr.com/services/feeds/photos_public.gne?id=15834021@N00&lang=en-us&format=rss_200,http://api.flickr.com/services/feeds/photos_public.gne?id=15834021@N00&lang=en-us&format=rss_200,13.225.70.230,true,2003-11-21 23:49:51 -0800,2019-03-26 20:29:23 -0700,Photos from combray,https://www.flickr.com/photos/combray/,,Flickr,20,2008-10-15 16:46:44 UTC,2009-11-05 15:26:51 UTC
http://blog.benchcoach.com,http://feeds.feedburner.com/CommentsForBenchcoach,http://feeds.feedburner.com/CommentsForBenchcoach,172.217.12.206,true,,,Comments for Benchcoach,http://blog.benchcoach.com,Taking The Luck Out Of Fantasy Sports,http://wordpress.org/?v=3.0.1,5,2010-01-07 17:08:37 UTC,2010-05-12 18:28:05 UTC
https://nadiaeghbal.com/,https://nadiaeghbal.com/feed.xml,https://nadiaeghbal.com/feed.xml,185.199.111.153,true,2013-07-10 20:05:50 UTC,2020-06-26 03:29:30 UTC,Nadia Eghbal,https://nadiaeghbal.com/,"Personal writing, links, and other things by Nadia Eghbal.",Jekyll,10,2019-01-25 00:00:00 UTC,2019-11-15 00:00:00 UTC
https://drewdevault.com,https://drewdevault.com/feed.xml,https://drewdevault.com/feed.xml,173.195.146.137,true,2010-03-13 18:45:51 UTC,2020-02-12 16:15:33 UTC,Drew DeVault's Blog,https://drewdevault.com,"I write software. Occasionally, I will compose a post for this blog.",,10,2020-04-15 00:00:00 UTC,2020-06-21 00:00:00 UTC
http://www.fimoculous.com/,http://www.fimoculous.com/rss/rss.xml,http://www.fimoculous.com/rss/rss.xml,208.112.69.177,true,2000-06-11 21:29:09 UTC,2019-05-06 04:30:58 UTC,Fimoculous.com,http://www.fimoculous.com/,Feeding On Itself,,2,2016-04-19 06:00:00 UTC,2018-03-03 06:00:00 UTC
